"language","rater_group","text","question","text_type","rater","rating","rating_zr"
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater1",-9,-1.95770574903614
"English","English_Rg1","English_text_2","Q1","Type 4","English_rater1",9,1.45083648741264
"English","English_Rg1","English_text_3","Q1","Type 3","English_rater1",5,0.434368092749036
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater1",-3,-0.489710706840945
"English","English_Rg1","English_text_5","Q1","Type 4","English_rater1",-2,-0.320384005703871
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater1",-5,-0.883466773629878
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater1",6,0.63545412837939
"English","English_Rg1","English_text_8","Q1","Type 4","English_rater1",-2,-0.320384005703871
"English","English_Rg1","English_text_9","Q1","Type 4","English_rater1",-6,-1.10342816801669
"English","English_Rg1","English_text_9","Q1","Type 4","English_rater1",6,0.63545412837939
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater1",5,0.434368092749036
"English","English_Rg1","English_text_11","Q1","Type 3","English_rater1",3,0.107967889149567
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater1",-7,-1.33297599198599
"English","English_Rg1","English_text_13","Q1","Type 4","English_rater1",-7,-1.33297599198599
"English","English_Rg1","English_text_14","Q1","Type 3","English_rater1",3,0.107967889149567
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater1",7,0.883466773629878
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater1",6,0.63545412837939
"English","English_Rg1","English_text_17","Q1","Type 3","English_rater1",-6,-1.10342816801669
"English","English_Rg1","English_text_18","Q1","Type 3","English_rater1",5,0.434368092749036
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater1",4,0.270160165313734
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater1",-6,-1.10342816801669
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater2",-6,-1.10342816801669
"English","English_Rg1","English_text_2","Q1","Type 4","English_rater2",10,1.8465332589292
"English","English_Rg1","English_text_3","Q1","Type 3","English_rater2",9,1.45083648741264
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater2",9,1.45083648741264
"English","English_Rg1","English_text_5","Q1","Type 4","English_rater2",4,0.270160165313734
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater2",-9,-1.95770574903614
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater2",-3,-0.489710706840945
"English","English_Rg1","English_text_8","Q1","Type 4","English_rater2",-8,-1.57005585953582
"English","English_Rg1","English_text_9","Q1","Type 4","English_rater2",-5,-0.883466773629878
"English","English_Rg1","English_text_9","Q1","Type 4","English_rater2",4,0.270160165313734
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater2",3,0.107967889149567
