"language","rater_group","text","question","text_type","rater","rating","rating_zr"
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater1",-9,-1.81217702574853
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater1",-3,-0.358238805564508
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater1",-5,-0.737356881131245
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater1",6,0.91129508069062
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater1",5,0.697329344447225
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater1",-7,-1.20984741420994
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater1",7,1.15787860364502
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater1",6,0.91129508069062
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater1",4,0.499703382207784
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater1",-6,-0.967421566101701
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater2",-6,-0.967421566101701
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater2",9,1.96527241897178
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater2",-9,-1.81217702574853
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater2",-3,-0.358238805564508
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater2",3,0.309157598954232
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater2",-9,-1.81217702574853
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater2",7,1.15787860364502
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater2",-2,-0.202525183346417
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater2",6,0.91129508069062
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater2",-4,-0.535082815086322
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater3",-6,-0.967421566101701
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater3",5,0.697329344447225
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater3",-2,-0.202525183346417
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater3",4,0.499703382207784
